"Notice ID","Title","Description","Current Response Date","Last Modified Date","Last Published Date","Contract Opportunity Type","POC Information","Active/Inactive","Awardee","Contract Award Number","Contract Award Date","NAICS","PSC","Modification Number","Set Aside"
"FA850125Q0071","Request for quote Duress annunciator (Vindicator Equipment)","Request for quote Duress annunciator (Vindicator Equipment) This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR subpart 12.6 as supplemented with additional information included in this notice. This solicitation is being conducted under Simplified Acquisition Procedures (SAP) as a Request for Quote (RFQ) No. FA850125Q0071 . This solicitation will be solicited under 100% small business set-aside. The Government is posting this combined synopsis/solicitation to identify potential sources who can provide and in and install duress annunciator (Vindicator Equipment) utilizing a Vindicator certified installer. They will install two silent duress’s located at Base Defense Operation Center (BDOC), one for each desk. The duress annunciator (Vindicator Equipment) will need to be installed at a twenty-four-hour manned Installation Access Control Point (IACP) Bldg. 217 (Watson Gate). The silent duress from BDOC shall also have a flashing light indicating duress. All associated equipment installed at Bldg. 217 shall be inside interior distribution boxes. Contractor is also responsible for all the programming that will be needed to accomplish this project. The main annunciator being used MUST be Vindicator. The contractor will be responsible for full installation, programming and the integration configuring testing and commissioning of the Vindicator system ensuring seamless operation with the existing infrastructure. This requirement is specifically restricted to the vindicator Brand. Vindicator is a brand of Honeywell who is the manufacture. The offer must include in their quote a description on how they will fulfill both the equipment and installation requirements, including but not limited to qualifications and experience with Vindicator systems. And if they have a Honeywell Vindicator certified installer, whom must be present during installation, programming, and testing prior to government acceptance. The government will evaluate these responses to determine technical acceptability and suitability for award. Also the installation of a Duress annunciator (Vindicator Equipment) will require utilizing a Vindicator certified installer, secondly the designed install to meet must meet applicable security regulatory guidance that includes the most current versions of the Non-Nuclear Configuration Management Database (CMD). The following instructions MUST be adhered to: Department of Air Force 31-101, Department of Air Force 31-101 DAFGM2022-01 GENADMIN, ESE-TP-0023 and related standards.","Sep 22, 2025 04:00 PM EDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Adria Pitts | Bobby Ballow","Active","N/A","N/A","N/A","Security Systems Services (except Locksmiths)","IT AND TELECOM - SECURITY AND COMPLIANCE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","N/A","Total Small Business Set-Aside (FAR 19.5)"
"FA255025Q0072","50 FSS/MFRC Carpet Requirement","Please see provided attachments in this Solicitation posting for full details and instructions. Amendment 1 notifies that funding is available. (Please see attached Amended Solicitation: FA255025Q00720001 - Combo_Solicitation"" Amendment 2 adds attachment 5 - MFRC_Layout and instructions to receive the document. (Please see attached Amended Solicitation: FA255025Q00720002 - Combo_Solicitation"" Important Details: Site Visit: 16 September 2025 at 9:00 AM at Building 210, Schriever Space Force Base - Must notify both points of contacts provided in this solicitation by 15 September 2025, 1:00 PM MT, if you are attending and/or need assistance to gain site access. Questions Due: 18 September 2025 at 12:00 PM MT Response deadline: 23 September 2025 no later than 1:00 PM MT. The Military and Family Readiness Center (M&FRC) requires the replacement of carpet to upgrade with the new Space Force theme and replace the current aging and peeling carpet. The contractor (Tier 2) must contact the manufacturers (Tier 1) below per the USAF Carpet Program mandatory use and purchase the products as specified in the attachment ""FA255025Q0072 - Combo_Solicitation"" from one of the seven Tier 1 Carpet Manufacturers. Contractor is responsible for subsequent delivery and installation. Tier 1 Manufacturers: Mohawk Annaleigh Warmack 716-459-4965 Annaleigh_warmack@mohawkind.com Engineered Floors Debra Ramsay 800-241-4585 Contract.team@engineerdfloors.com Mannington Jody Steger 703-489-5698 Jody.steger@mannington.com Milliken Timothy Bagg 704-617-1329 Timothy.bagg@milliken.com Tarkett Jamie Collins 757-810-8893 Jamie.collins@tarkett.com Interface Americas Interface Customer Success 800-634-6032 orders@interface.com Bentley Mills Carolyn Drummond 859-536-7846 Carolyn.drummond@bentleymills.com","Sep 23, 2025 12:00 PM MDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Kaitlyn Guldan | SSgt Jake Pineiros","Active","N/A","N/A","N/A","Carpet and Rug Mills","FLOOR COVERINGS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"W911S225U2084","CSI Forensic Kit","Reason for update is to reflect place of performance - Fort Wainwright, AK. CSI Forensic Kit","Sep 18, 2025 02:00 PM PDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Kimberley LAWRENCE","Active","N/A","N/A","N/A","Electric Lamp Bulb and Other Lighting Equipment Manufacturing ","ELECTRIC PORTABLE AND HAND LIGHTING EQUIPMENT","N/A","Total Small Business Set-Aside (FAR 19.5)"
"FA466125Q0150","317 AW Furniture","The 7th Contracting Squadron, Dyess AFB TX, requires the purchase and installation of furniture for Bldg. 6015. Please see the attached RFQ, SOW/Floor Plan and Salient Characteristics for more details. QUOTE SUBMISSION INFORMATION: E-mail is the required method for offer submission. The Contracting Specialist or Officer will send a confirmation email once your quote is received. If you do not receive a confirmation email, the Government did not receive your quote. Your offer shall include but is not limited to the following: Complete (must be signed) Page 2 of RFQ (or contractor equivalent*) Itemized quote with all furniture priced individually The contractor shall provide technical specifications for all quoted items, along with their quote (see SOW for more details) Please submit questions to the email address, tyrie.tanaka@us.af.mil, NLT 15 September 2025, 3:00 p.m. (CST). An amendment will be issued with answering all questions received. * The offeror is not required to use Page 2 of this RFQ; however, if you chose not to use it, all of the information on Page 2 must be included in your offer. Deadline for receipt of offers: 19 September 2025, 2:00 PM (CST). All quotes can be emailed to tyrie.tanaka@us.af.mil and taylor.norris@us.af.mil. Amendment #1: Reattach documents in PDF format to remove security controls.","Sep 19, 2025 02:00 PM CDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Taylor Norris | Tyrie Tanaka","Active","N/A","N/A","N/A","Wood Office Furniture Manufacturing","OFFICE FURNITURE","N/A","Total Small Business Set-Aside (FAR 19.5)"
"SPE7M125T332N","43--CYLINDER,RECIPROCAT","Proposed procurement for NSN 4310123555028 CYLINDER,RECIPROCAT: Line 0001 Qty 1 UI EA Deliver To: W1A8 DLA DISTRIBUTION By: 0157 DAYS ADO Approved source is 1KWT0 061828. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Sep 26, 2025","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Air and Gas Compressor Manufacturing ","PUMPS AND COMPRESSORS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"FW2517-ISE","CISCO Identity Service Engine (ISE) License","The 21st Contracting Squadron at Peterson Space Force Base is requesting quotes on Sam.gov that provide CISCO Identity Service Engine (ISE) Licenses. The North American Industry Classification System (NAICS) code is 334111 - Electronic Computer Manufacturing, and the small business size standard is 1,250 employees. See attached RFQ document and product list for details.","Sep 19, 2025 01:00 PM MDT","Sep 15, 2025","Sep 15, 2025","Solicitation","Felicia Waterman | Patrick Berger","Active","N/A","N/A","N/A","Electronic Computer Manufacturing","IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","N/A","Total Small Business Set-Aside (FAR 19.5)"
"SPE8EF25T1911","17--CART SERVICING,NITR","Proposed procurement for NSN 1730015064319 CART SERVICING,NITR: Line 0001 Qty 2 UI KT Deliver To: W1A8 DLA DISTRIBUTION By: 0156 DAYS ADO Approved sources are 59672 411000; 59672 NDSK1. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Sep 26, 2025","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Other Aircraft Parts and Auxiliary Equipment Manufacturing","AIRCRAFT LAUNCH/LAND/GROUND HANDLE","N/A","Total Small Business Set-Aside (FAR 19.5)"
"SPE7L325U0348","29--FILTER ELEMENT,FLUI","Proposed procurement for NSN 2910015900735 FILTER ELEMENT,FLUI: Line 0001 Qty 172 UI EA Deliver To: By: 0072 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 12. The Guaranteed Minimum quantity will be 25. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved source is 15852 4209901. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Sep 30, 2025","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Motor Vehicle Gasoline Engine and Engine Parts Manufacturing","ENGINE ACCESSORIES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"SPE4A625U1193","53--BOLT,SHEAR","Proposed procurement for NSN 5306011367144 BOLT,SHEAR: Line 0001 Qty 2338 UI EA Deliver To: By: 0081 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 12. The Guaranteed Minimum quantity will be 233. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved sources are 0RFT4 NAS6604H18; 0ZC92 NAS6604H18; 2V343 NAS6604H18; 80205 NAS6604H18; 8Z507 NAS6604H18. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Sep 30, 2025","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Bolt, Nut, Screw, Rivet, and Washer Manufacturing ","HARDWARE AND ABRASIVES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"SPE7LX25U022Z","53--GASKET","Proposed procurement for NSN 5330015077496 GASKET: Line 0001 Qty 33 UI EA Deliver To: By: 0046 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 4. The Guaranteed Minimum quantity will be 4. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved sources are 28953 158-35019 ITEM 12; 28953 16-B7253. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Sep 30, 2025","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Gasket, Packing, and Sealing Device Manufacturing ","HARDWARE AND ABRASIVES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"SPE7L125T02A7","25--AXLE,VEHICULAR,NOND","Proposed procurement for NSN 2530013971157 AXLE,VEHICULAR,NOND: Line 0001 Qty 4 UI EA Deliver To: W1A8 DLA DIST SAN JOAQUIN By: 0073 DAYS ADO Approved sources are 78500 TNT4270QH12; 98255 SW28721-2. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Sep 26, 2025","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Motor Vehicle Transmission and Power Train Parts Manufacturing","VEHICULAR EQUIPMENT COMPONENTS","N/A","Total Small Business Set-Aside (FAR 19.5)"
